 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.267,1.323,1.254,1.149,1.273,1.44,1.018,1.133,1.082,1.14,1.378,1.838,1.146,1.214,1.687,1.172,1.069,0,1.378,1.516,1.339,1.376,1.151,1.226,1.226,,,,,
incorrect, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, incorrect, correct, correct, correct, correct, correct, correct, correct,,,,,
LEFT, DOWN, LEFT, RIGHT, DOWN, LEFT, RIGHT, LEFT, RIGHT, LEFT, UP, RIGHT, LEFT, UP, LEFT, DOWN, UP, DOWN, UP, RIGHT, UP, RIGHT, DOWN, RIGHT, RIGHT,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.041,0.923,0.778,0,0.774,0.741,0.75,0.819,1.095,0.99,1.047,0.986,0.845,0.983,1.064,1.534,1.106,1.116,1.095,1.089,0.999,1.073,1.589,0.906,1.226,1.263,1.263,,,
correct, correct, incorrect, incorrect, correct, correct, correct, incorrect, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, incorrect, incorrect, correct, correct,,,
UP, LEFT, DOWN, RIGHT, UP, RIGHT, LEFT, UP, RIGHT, UP, RIGHT, DOWN, UP, LEFT, RIGHT, UP, LEFT, UP, RIGHT, DOWN, RIGHT, DOWN, UP, DOWN, LEFT, DOWN, DOWN,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.08,0,1.574,1.063,0,1.361,1.299,1.186,1.126,1.331,1.362,1.562,1.37,2.137,2.121,0.109,2.932,1.258,1.078,1.561,1.661,1.661,,,,,,,,
incorrect, correct, correct, incorrect, correct, correct, correct, correct, correct, correct, correct, correct, correct, incorrect, incorrect, incorrect, incorrect, correct, correct, correct, correct, correct,,,,,,,,
LEFT, RIGHT, UP, RIGHT, LEFT, UP, DOWN, RIGHT, LEFT, RIGHT, LEFT, RIGHT, LEFT, RIGHT, DOWN, RIGHT, LEFT, RIGHT, LEFT, DOWN, LEFT, LEFT,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.172,0.989,1.027,1.11,1.188,1.712,1.072,1.126,1.33,1.144,1.297,1.128,1.029,3.935,1.579,1.074,1.292,1.083,1.031,0.942,0.792,0.891,0.987,0.987,,,,,,
correct, correct, correct, correct, correct, correct, incorrect, correct, correct, correct, correct, correct, correct, incorrect, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct,,,,,,
LEFT, DOWN, LEFT, RIGHT, DOWN, RIGHT, DOWN, UP, RIGHT, LEFT, DOWN, RIGHT, UP, DOWN, LEFT, DOWN, RIGHT, UP, RIGHT, LEFT, RIGHT, LEFT, UP, UP,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.321,1.604,1.5,1.234,1.407,1.112,1.02,1.163,1.111,1.55,1.248,1.108,1.045,0.976,1.131,1.001,1.311,1.154,1.406,1.089,1.141,1.244,5.578,5.578,,,,,,
correct, correct, correct, correct, correct, correct, correct, correct, correct, incorrect, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, incorrect, correct,,,,,,
RIGHT, UP, DOWN, RIGHT, LEFT, UP, LEFT, RIGHT, LEFT, RIGHT, UP, LEFT, UP, LEFT, RIGHT, UP, RIGHT, UP, DOWN, LEFT, RIGHT, DOWN, UP, UP,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.128,1.234,1.01,2.827,0.867,1.09,0.977,1.312,0.969,0.904,1.984,0.897,1.062,1.902,0.891,4.857,0.944,0.797,1.87,1.87,,,,,,,,,,
correct, correct, correct, incorrect, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, incorrect, correct, correct, correct, correct,,,,,,,,,,
LEFT, RIGHT, LEFT, RIGHT, LEFT, UP, LEFT, UP, RIGHT, UP, RIGHT, DOWN, UP, DOWN, LEFT, DOWN, UP, LEFT, UP, UP,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.327,1.096,1.042,0.914,1.066,1.03,1.208,1.326,1.104,1.128,1.452,0.96,0.998,1.11,1.166,1.125,1.313,1.985,1.281,1.008,1.166,1.028,1.535,1.998,1.998,,,,,
correct, correct, correct, correct, correct, incorrect, correct, correct, correct, correct, correct, incorrect, correct, correct, incorrect, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct,,,,,
RIGHT, DOWN, UP, LEFT, UP, DOWN, LEFT, UP, RIGHT, UP, RIGHT, UP, RIGHT, UP, RIGHT, UP, RIGHT, DOWN, RIGHT, LEFT, UP, RIGHT, LEFT, RIGHT, RIGHT,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.031,1.714,0,1.375,1.67,1.592,1.499,1.274,1.344,1.524,1.452,1.049,1.121,1.189,1.921,0,1.438,0.949,0,1.173,0.742,0.797,2.204,1.292,1.7,1.7,,,,
incorrect, correct, incorrect, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, incorrect, correct, incorrect, correct, incorrect, incorrect, correct, incorrect, incorrect, incorrect, correct, correct, correct,,,,
LEFT, UP, RIGHT, DOWN, LEFT, UP, RIGHT, DOWN, RIGHT, LEFT, RIGHT, LEFT, DOWN, LEFT, UP, DOWN, RIGHT, LEFT, UP, RIGHT, LEFT, RIGHT, UP, RIGHT, UP, UP,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.195,1.021,1.5,1.181,1.148,1.241,1.256,1.001,1.323,0.916,0,0,0.417,0.457,2.015,1.42,1.074,1.373,0,1.174,1.059,1.047,1.03,0.849,1.066,1.012,1.302,1.261,1.453,1.453
correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, incorrect, incorrect, correct, incorrect, incorrect, correct, incorrect, correct, incorrect, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct
RIGHT, UP, RIGHT, LEFT, UP, RIGHT, LEFT, UP, RIGHT, LEFT, RIGHT, LEFT, UP, DOWN, LEFT, DOWN, LEFT, UP, LEFT, RIGHT, LEFT, UP, RIGHT, LEFT, DOWN, RIGHT, DOWN, LEFT, DOWN, DOWN
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.829,1.971,0.919,2.666,2.75,0.998,0.842,1.032,1.139,3.261,1.137,1.229,1.215,1.361,0.908,1.06,1.222,1.162,1.266,1.396,1.124,1.124,,,,,,,,
correct, correct, correct, incorrect, incorrect, correct, incorrect, correct, correct, incorrect, correct, correct, correct, correct, correct, incorrect, correct, correct, correct, correct, correct, correct,,,,,,,,
RIGHT, DOWN, RIGHT, UP, RIGHT, UP, LEFT, UP, RIGHT, UP, RIGHT, UP, RIGHT, LEFT, RIGHT, LEFT, UP, LEFT, UP, LEFT, DOWN, DOWN,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.813,1.334,1.015,1.094,0.952,1.413,1.027,1.023,1.242,1.121,1.335,1.379,1.306,1.108,1.083,0.861,0.943,0.95,1.453,1.316,1.149,1.078,1.188,1.066,1.066,,,,,
incorrect, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct,,,,,
RIGHT, DOWN, RIGHT, DOWN, RIGHT, LEFT, RIGHT, UP, RIGHT, LEFT, RIGHT, LEFT, UP, RIGHT, LEFT, RIGHT, LEFT, RIGHT, LEFT, DOWN, RIGHT, UP, RIGHT, DOWN, DOWN,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.297,0,1.13,0,1.812,1.091,1.187,1.29,1.772,1.351,1.126,1.333,2.27,0,0,1.905,1.905,1.315,1.966,1.588,1.28,2.797,1.923,1.923,,,,,,
incorrect, incorrect, incorrect, incorrect, correct, correct, correct, correct, incorrect, correct, correct, correct, incorrect, incorrect, incorrect, correct, correct, correct, correct, correct, correct, incorrect, incorrect, incorrect,,,,,,
RIGHT, DOWN, UP, RIGHT, LEFT, RIGHT, UP, DOWN, LEFT, RIGHT, LEFT, DOWN, LEFT, DOWN, RIGHT, UP, LEFT, DOWN, RIGHT, DOWN, UP, LEFT, DOWN, DOWN,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.515,1.42,1.248,1.025,1.087,1.333,1.395,1.293,2.738,0,1.131,1.593,1.331,1.484,2.639,0,1.41,1.139,1.171,0.955,1.111,1.109,1.167,1.167,,,,,,
correct, correct, correct, correct, correct, correct, correct, correct, incorrect, incorrect, correct, correct, correct, incorrect, incorrect, incorrect, correct, correct, correct, correct, correct, correct, incorrect, incorrect,,,,,,
UP, DOWN, RIGHT, LEFT, DOWN, RIGHT, DOWN, LEFT, UP, LEFT, DOWN, LEFT, DOWN, LEFT, UP, DOWN, LEFT, DOWN, RIGHT, LEFT, UP, RIGHT, DOWN, DOWN,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.449,1.1,1.126,1.165,1.246,1.139,1.201,1.146,0.078,1.032,1.082,0.973,1.063,1.393,1.126,1.063,1.236,1.049,1.093,1.186,0.909,1.163,1.223,1.202,1.071,0.016,0.89,0.199,0.199,
correct, correct, correct, correct, correct, correct, correct, correct, incorrect, correct, correct, correct, incorrect, correct, correct, correct, correct, correct, correct, correct, correct, incorrect, correct, correct, correct, incorrect, correct, correct, correct,
RIGHT, LEFT, RIGHT, LEFT, DOWN, UP, DOWN, LEFT, DOWN, UP, LEFT, DOWN, RIGHT, DOWN, LEFT, UP, DOWN, UP, LEFT, DOWN, UP, RIGHT, LEFT, RIGHT, UP, RIGHT, UP, DOWN, DOWN,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.512,1.889,1.197,1.539,1.575,1.844,1.552,1.5,1.247,1.436,1.599,1.42,1.261,1.399,1.012,0.969,1.225,1.042,1.154,1.109,1.281,1.281,,,,,,,,
correct, correct, correct, correct, incorrect, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct,,,,,,,,
UP, RIGHT, LEFT, UP, RIGHT, LEFT, DOWN, RIGHT, LEFT, DOWN, LEFT, RIGHT, DOWN, LEFT, RIGHT, UP, LEFT, RIGHT, DOWN, UP, DOWN, DOWN,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.719,1.418,1.426,1.279,1.109,1.431,1.175,1.354,1.139,1.271,1.188,2.273,1.775,1.428,1.223,1.531,2.2,1.403,1.224,1.248,1.248,,,,,,,,,
correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, incorrect, correct, correct, correct, correct, incorrect, correct, correct, incorrect, incorrect,,,,,,,,,
RIGHT, LEFT, RIGHT, DOWN, RIGHT, LEFT, UP, RIGHT, LEFT, UP, RIGHT, UP, LEFT, DOWN, UP, LEFT, UP, RIGHT, UP, LEFT, LEFT,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.767,1.484,1.906,1.398,1.263,0.938,1.072,1.396,1.281,1.236,2.688,1.578,2.32,1.341,1.869,1.593,1.631,1.631,,,,,,,,,,,,
incorrect, correct, correct, correct, correct, correct, correct, correct, correct, correct, incorrect, correct, incorrect, correct, correct, correct, correct, correct,,,,,,,,,,,,
RIGHT, LEFT, DOWN, LEFT, RIGHT, LEFT, DOWN, RIGHT, DOWN, LEFT, UP, RIGHT, UP, DOWN, UP, LEFT, RIGHT, RIGHT,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.324,1.826,1.542,1.097,1.062,1.046,1.036,1.213,1.062,0.934,1.764,1.141,0.921,1.233,1.016,1.045,1.094,1.062,0.933,1.143,0.907,0,1.046,1.159,1.159,,,,,
incorrect, incorrect, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, incorrect, correct, correct, correct,,,,,
LEFT, RIGHT, UP, RIGHT, LEFT, UP, LEFT, RIGHT, UP, RIGHT, LEFT, DOWN, LEFT, RIGHT, LEFT, DOWN, LEFT, RIGHT, LEFT, UP, RIGHT, LEFT, UP, RIGHT, RIGHT,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.004,1.359,2.268,1.985,3.905,1.487,0,1.875,2.451,1.342,2.011,1.183,2.32,1.323,2.109,1.457,1.457,,,,,,,,,,,,,
incorrect, correct, incorrect, correct, incorrect, correct, incorrect, correct, incorrect, correct, incorrect, correct, incorrect, correct, incorrect, correct, correct,,,,,,,,,,,,,
RIGHT, LEFT, RIGHT, LEFT, DOWN, UP, LEFT, DOWN, LEFT, RIGHT, DOWN, RIGHT, LEFT, UP, RIGHT, LEFT, LEFT,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.484,1.088,0.9,1.192,3.032,1.247,2.17,1.357,1.295,1.4,1.703,2.603,1.243,2.137,1.493,1.309,1.292,1.137,1.125,1.125,,,,,,,,,,
correct, incorrect, incorrect, correct, incorrect, correct, incorrect, correct, correct, correct, correct, incorrect, correct, incorrect, correct, correct, correct, correct, correct, correct,,,,,,,,,,
UP, DOWN, UP, DOWN, RIGHT, UP, RIGHT, UP, DOWN, RIGHT, UP, LEFT, DOWN, RIGHT, UP, RIGHT, DOWN, LEFT, UP, UP,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.241,1.142,1.204,1.369,0.932,1.145,0.973,1.066,1.05,1.01,0.998,1.205,1.225,1.14,0.978,1.364,1.564,1.277,0.888,1.855,1.035,1.002,1.037,1.008,3.401,3.401,,,,
correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, incorrect, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, incorrect, correct,,,,
UP, LEFT, DOWN, RIGHT, LEFT, DOWN, LEFT, RIGHT, UP, DOWN, RIGHT, UP, RIGHT, UP, LEFT, UP, DOWN, RIGHT, LEFT, RIGHT, LEFT, DOWN, LEFT, DOWN, UP, UP,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.229,1.737,1.424,2.113,1.31,1.629,1.225,1.111,0.98,0.896,1.432,1.729,1.053,1.412,0.951,1.551,3.774,1.103,0.912,1.342,1.074,1.074,,,,,,,,
correct, correct, correct, incorrect, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, incorrect, correct, incorrect, correct, incorrect, correct, correct, correct,,,,,,,,
LEFT, RIGHT, UP, RIGHT, DOWN, RIGHT, DOWN, UP, LEFT, UP, DOWN, UP, LEFT, DOWN, RIGHT, LEFT, RIGHT, LEFT, UP, RIGHT, UP, UP,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.381,1.438,1.435,1.24,1.203,1.38,1.4,1.032,0.977,1.106,1.075,1.013,1.034,1.173,0.999,1.801,1.038,1.11,1.107,1.011,1.229,1.119,1.068,1.449,1.449,,,,,
correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, incorrect, correct, correct, correct, correct, correct,,,,,
